ticker,byma,nombre,mercado,ratio,tipo,rankea
PATH,PATH,UiPath,NYSE,2:1,accion,1
PBI,PBI,Pitney Bowes,NYSE,1:1,accion,1
PBR,PBR,Petrobras,NYSE,1:1,accion,1
PCAR,PCAR,Paccar,NASDAQ,3:1,accion,1
PDD,PDD,PDD Holdings,NASDAQ,25:1,accion,1
PEP,PEP,PepsiCo,NASDAQ,18:1,accion,1
PFE,PFE,Pfizer,NYSE,4:1,accion,1
PG,PG,Procter & Gamble,NYSE,15:1,accion,1
PHG,PHG,Philips,NYSE,5:1,accion,1
PINS,PINS,Pinterest,NYSE,7:1,accion,1
PKX,PKS,Posco Holdings,NYSE,3:1,accion,1
PLTR,PLTR,Palantir,NYSE,3:1,accion,1
PM,PM,Philip Morris,NYSE,18:1,accion,1
PSO,PSO,Pearson,NYSE,1:1,accion,1
PSQ,PSQ,ProShares Short QQQ,NYSE Arca,8:1,etf,0
PSX,PSX,Phillips 66,NYSE,6:1,accion,1
PYPL,PYPL,PayPal,NASDAQ,8:1,accion,1
QCOM,QCOM,Qualcomm,NASDAQ,11:1,accion,1
QQQ,QQQ,Invesco QQQ,NASDAQ,20:1,etf,1
RACE,RACE,Ferrari,NYSE,83:1,accion,1
RBLX,RBLX,Roblox,NYSE,2:1,accion,1
RGTI,RGTI,Rigetti Computing,NASDAQ,2:1,accion,1
RIO,RIO,Rio Tinto,NYSE,8:1,accion,1
RIOT,RIOT,Riot Platforms,NASDAQ,3:1,accion,1
RKLB,RKLB,Rocket Lab,NASDAQ,12:1,accion,1
ROKU,ROKU,Roku,NASDAQ,13:1,accion,1
ROST,ROST,Ross Stores,NASDAQ,4:1,accion,1
RSP,RSP,Invesco S&P 500 Equal Weight,NYSE ARCA,30:1,etf,1
RTX,RTX,RTX,NYSE,5:1,accion,1
SAN,SAN,Banco Santander,NYSE,1:4,accion,1
SAP,SAP,SAP,NYSE,6:1,accion,1
SATL,SATL,Satellogic,NASDAQ,1:1,accion,1
SBS,SBS,Sabesp,NYSE,1:2,accion,1
SBUX,SBUX,Starbucks,NASDAQ,12:1,accion,1
SCCO,SCCO,Southern Copper,NYSE,2:1,accion,1
SCHW,SCHW,Charles Schwab,NYSE,13:1,accion,1
SDA,SDA,SunCar Technology,NASDAQ,2:1,accion,1
SE,SE,Sea Ltd,NYSE,32:1,accion,1
SH,SH,ProShares Short S&P500,NYSE,8:1,etf,0
SHEL,SHEL,Shell,NYSE,2:1,accion,1
SHOP,SHOP,Shopify,NYSE,107:1,accion,1
SID,SID,Companhia Siderurgica Nacional,NYSE,1:8,accion,1
SLB,SLB,Schlumberger,NYSE,3:1,accion,1
SLV,SLV,iShares Silver Trust,NYSE Arca,6:1,etf,1
SMH,SMH,VanEck Semiconductor,NASDAQ,50:1,etf,1
SNA,SNA,Snap-on,NYSE,6:1,accion,1
SNAP,SNAP,Snap,NYSE,1:1,accion,1
SNDK,SNDK,SanDisk,NASDAQ,170:1,accion,1
SNOW,SNOW,Snowflake,NYSE,30:1,accion,1
SONY,SONY,Sony,NYSE,8:1,accion,1
SPGI,SPGI,S&P Global,NYSE,45:1,accion,1
SPHQ,SPHQ,Invesco S&P 500 Quality,NYSE ARCA,14:1,etf,1
SPOT,SPOT,Spotify,NYSE,28:1,accion,1
SPXL,SPXL,Direxion S&P 500 Bull 3X,NYSE Arca,25:1,etf,0
SPY,SPY,SPDR S&P 500,NYSE Arca,60:1,etf,1
STLA,STLA,Stellantis,NYSE,5:1,accion,1
STNE,STNE,StoneCo,NASDAQ,3:1,accion,1
SUZ,SUZ,Suzano,NYSE,1:1,accion,1
SWKS,SWKS,Skyworks,NASDAQ,21:1,accion,1
SYY,SYY,Sysco,NYSE,8:1,accion,1
T,T,AT&T,NYSE,3:1,accion,1
TCOM,TCOM,Trip.com,NASDAQ,2:1,accion,1
TEAM,TEAM,Atlassian,NASDAQ,47:1,accion,1
TEF,TEFO,Telefonica,NYSE,8:1,accion,1
TEM,TEM,Tempus AI,NASDAQ,12:1,accion,1
TEN,TEN,Tenaris,NYSE,1:1,accion,1
TGT,TGT,Target,NYSE,24:1,accion,1
TIMB,TIMB,TIM Participacoes,NYSE,1:1,accion,1
TJX,TJX,TJX Companies,NYSE,22:1,accion,1
TM,TM,Toyota,NYSE,15:1,accion,1
TMO,TMO,Thermo Fisher,NYSE,22:1,accion,1
TMUS,TMUS,T-Mobile,NASDAQ,33:1,accion,1
TQQQ,TQQQ,ProShares UltraPro QQQ,NASDAQ,25:1,etf,0
TRIP,TRIP,Tripadvisor,NASDAQ,2:1,accion,1
TRV,TRVV,Travelers,NYSE,6:1,accion,1
TSLA,TSLA,Tesla,NASDAQ,15:1,accion,1
TSM,TSM,Taiwan Semiconductor,NYSE,9:1,accion,1
TTE,TTE,TotalEnergies,NYSE,3:1,accion,1
TV,TV,Grupo Televisa,NYSE,3:1,accion,1
TWLO,TWLO,Twilio,NYSE,36:1,accion,1
TXN,TXN,Texas Instruments,NASDAQ,5:1,accion,1
TX,TXR,Ternium,NYSE,4:1,accion,1
UAL,UAL,United Airlines,NASDAQ,5:1,accion,1
UBER,UBER,Uber,NYSE,2:1,accion,1
UGP,UGP,Ultrapar,NYSE,1:1,accion,1
UL,UL,Unilever,NYSE,3:1,accion,1
NU,UN,Nu Holdings,NYSE,2:1,accion,1
UNH,UNH,UnitedHealth,NYSE,33:1,accion,1
UNP,UNP,Union Pacific,NYSE,20:1,accion,1
UPST,UPST,Upstart,NASDAQ,5:1,accion,1
URA,URA,Global X Uranium,NYSE Arca,5:1,etf,1
URBN,URBN,Urban Outfitters,NASDAQ,2:1,accion,1
USB,USB,US Bancorp,NYSE,5:1,accion,1
USO,USO,United States Oil Fund,NYSE,15:1,etf,1
V,V,Visa,NYSE,18:1,accion,1
VALE,VALE,Vale,NYSE,2:1,accion,1
VEA,VEA,Vanguard FTSE Developed,NYSE Arca,10:1,etf,1
VIG,VIG,Vanguard Dividend Appreciation,NYSE Arca,39:1,etf,1
VIST,VIST,Vista Energy,NYSE,3:1,accion,1
VIV,VIV,Telefonica Brasil,NYSE,1:1,accion,1
VOD,VOD,Vodafone,NASDAQ,1:1,accion,1
VRTX,VRTX,Vertex Pharmaceuticals,NYSE,101:1,accion,1
VST,VST,Vistra,NYSE,26:1,accion,1
VXX,VXX,iPath S&P 500 VIX,CBOE,5:1,etf,0
VZ,VZ,Verizon,NYSE,4:1,accion,1
WFC,WFC,Wells Fargo,NYSE,5:1,accion,1
WMT,WMT,Walmart,NYSE,18:1,accion,1
XLB,XLB,Materials SPDR,NYSE Arca,18:1,etf,1
XLC,XLC,Communication Services SPDR,NYSE Arca,19:1,etf,1
XLE,XLE,Energy SPDR,NYSE Arca,2:1,etf,1
XLF,XLF,Financial SPDR,NYSE Arca,2:1,etf,1
XLI,XLI,Industrial SPDR,NYSE Arca,28:1,etf,1
XLK,XLK,Technology SPDR,NYSE Arca,46:1,etf,1
XLP,XLP,Consumer Staples SPDR,NYSE Arca,16:1,etf,1
XLRE,XLRE,Real Estate SPDR,NYSE Arca,9:1,etf,1
XLU,XLU,Utilities SPDR,NYSE Arca,15:1,etf,1
XLV,XLV,Health Care SPDR,NYSE Arca,29:1,etf,1
XLY,XLY,Consumer Discretionary SPDR,NYSE Arca,43:1,etf,1
XME,XME,SPDR Metals & Mining,NYSE ARCA,30:1,etf,1
XOM,XOM,Exxon Mobil,NYSE,10:1,accion,1
XP,XP,XP Inc,NASDAQ,4:1,accion,1
XPEV,XPEV,XPeng,New York,4:1,accion,1
XRX,XROX,Xerox,NYSE,1:1,accion,1
XYZ,XYZ,Block,NYSE,20:1,accion,1
YELP,YELP,Yelp,NYSE,2:1,accion,1
ZM,ZM,Zoom,NASDAQ,47:1,accion,1
GEV,GEV,GE Vernova,NYSE,180:1,accion,1
